Index,id,type,_3,name,_5,gender,country,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,disambiguation
4,https://musicbrainz.org/artist/8dfb2219-d58f-475b-b033-8cf80367dcc5,Person,88,M. C. Gregory,M. C. Gregory,,,,,,,,,,,,,,,,,,,,,,,,False,
17,https://musicbrainz.org/artist/d95a9055-f37e-442a-8431-59f619fc336f,Person,83,DJ Gregory,"Gregory, DJ",male,FR,,,"[{'sort-name': 'DJ Grégory', 'alias': 'DJ Grégory'}]",,08310658-51eb-3801-80de-5a0739207115,Country,France,France,False,,,,,,,,,,,,,False,House producer from france
32,https://musicbrainz.org/artist/6c22da8c-32ac-4823-9595-9e87ad3c42a5,Person,79,Gregory,Gregory,,,,,"[{'sort-name': ""Gregory Star Ac'1"", 'alias': ""Gregory Star Ac'1""}]",,,,,,,,,,,,,,,,,,,False,"Gregory Gulli, Star Academy, France"
33,https://musicbrainz.org/artist/490154dd-82b7-4204-aa1e-2faac30bc45d,Person,79,Gregory,Gregory,,FR,,,,,08310658-51eb-3801-80de-5a0739207115,Country,France,France,False,,,,,,,,,,,,,False,French pop
35,https://musicbrainz.org/artist/8a12e79d-a177-48ad-9302-531cf8430c4e,Person,79,Gregory,Gregory,,GB,,,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,,,False,of Chaos UK
36,https://musicbrainz.org/artist/20922760-a0d5-4f7a-8d50-10be634fb1f4,Person,79,Gregory,Gregory,,,,,,,,,,,,,,,,,,,,,,,,False,unknown church composer
37,https://musicbrainz.org/artist/8d6a3ba1-92b1-4887-b8cc-82b65982f8e1,Person,79,Gregory,Nevels,male,,,,,,,,,,,,,,,,,,,,,,,False,artist
40,https://musicbrainz.org/artist/20fbd006-fdff-45df-a8fc-c16b57354c78,,78,Gregory,Gregory,,,,,,,,,,,,,,,,,,,,,,,,False,ebm/industrial
48,https://musicbrainz.org/artist/6d576864-9871-40ca-b6e6-7983ba9a0678,Group,78,Gregory,Gregory,,DE,,,,,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,False,,,,,,,,,,,,,False,German euro-house duo
50,https://musicbrainz.org/artist/0a244045-facd-40be-b54b-dd285f04c5d5,Character,77,Gregory,Gregory,male,,,,,"[{'count': '1', 'name': 'south park character'}, {'count': '1', 'name': 'south park'}, {'count': '1', 'name': 'non-musician'}]",,,,,,,,,,,,,,,,,,False,"character from ""South Park: Bigger, Longer & Uncut"""
62,https://musicbrainz.org/artist/80cb960d-93e7-4feb-b3d2-b9c871403e66,Person,77,Tom Gregory,"Gregory, Tom",male,GB,['00833862323'],,,"[{'count': '1', 'name': 'pop'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,75aace97-0d87-4f8d-841a-095c85052581,Subdivision,Blackpool,Blackpool,False,,,,,,1995-11-10,,False,singer-songwriter from Blackpool/UK
65,https://musicbrainz.org/artist/437d5a4a-705a-40bc-945b-5e52558b4c9e,Person,77,Emma Gregory,"Gregory, Emma",female,GB,,,,"[{'count': '1', 'name': 'warhammer'}, {'count': '1', 'name': 'actor'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,,,False,United Kingdom actor/narrator
78,https://musicbrainz.org/artist/8855c4f6-daa5-4c24-9c14-8456f5977588,Person,76,Dick Gregory,"Gregory, Dick",male,,,['0000000109922384'],,,cb697c4e-6769-4cdb-909c-84e2e39f4a6a,City,Plymouth,Plymouth,False,759f9567-9107-40ef-a825-e57824a62e70,City,St. Louis,St. Louis,False,af59135f-38b5-4ea4-b4e2-dd28c5f0bad7,Subdivision,"Washington, D.C.","Washington, D.C.",False,1932-10-12,2017-08-19,True,
86,https://musicbrainz.org/artist/9cd2eaa7-6368-434f-9435-3e698565739d,Person,75,Adam Gregory,"Gregory, Adam",male,CA,"['00285320371', '00580421173', '00581928807']",['0000000114591129'],"[{'sort-name': 'Dahmer, Adam Thomas Gregory', 'type': 'Legal name', 'alias': 'Adam Thomas Gregory Dahmer'}]","[{'count': '1', 'name': 'country'}]",71bbafaa-e825-3e15-8ca9-017dcad1748b,Country,Canada,Canada,False,0197a505-d351-475f-9e6d-eda15a83a235,City,Edmonton,Edmonton,False,,,,,,1985-07-12,,False,
97,https://musicbrainz.org/artist/2375c2a4-f94d-43bb-9f7b-d8e3352300a0,Person,75,Dave Gregory,"Gregory, Dave",male,GB,,['0000000131171812'],"[{'locale': 'en', 'sort-name': 'Gregory, David', 'type': 'Legal name', 'alias': 'David Gregory'}]",,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,aee482fe-df6b-4f0f-849f-18f2329bab7c,Subdivision,Swindon,Swindon,False,,,,,,1952-09-21,,False,XTC
