Index,id,type,_3,name,_5,gender,country,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,disambiguation
1,588300b2-d4f6-4c56-8c0f-0be4a5dfc734,,96,a. Shaw,a. Shaw,,,,,,,,,,,,,,,,,,,,,,,,False,
22,fe6cebeb-8dbc-49aa-a63b-79505b536caf,Person,82,Ian Shaw,"Shaw, Ian",male,GB,,['0000000114684093'],,"[{'count': '2', 'name': 'jazz'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,8471f6e7-3385-4423-b8a9-4893494fd44c,City,St Asaph,St Asaph,False,,,,,,1962-06-02,,False,UK jazz vocalist / producer
30,a9b19feb-e551-4b87-8a6e-254542d4cfbc,,81,Shaw,Shaw,,,,,,,,,,,,,,,,,,,,,,,,False,Brazilian rapper
31,60f946db-cd6c-4da1-8c91-742c3239a001,,81,Shaw,Shaw,,,,,,,,,,,,,,,,,,,,,,,,False,Brony Artist
57,b1926397-c7e5-4ae0-bf5a-82e2a2f63b25,Person,78,Jim Shaw,"Shaw, Jim",male,US,,['0000000107768600'],,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,,,,,,,,,,,1952,,False,US painter and musician
73,44e916d2-7e29-418b-b1b2-948049bbb1d3,Person,77,Adam Shaw,"Shaw, Adam",male,GB,,,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,,,False,
78,862ccc32-abad-4e43-a9b1-778dcb5d9171,Person,76,Jas Shaw,"Shaw, Jas",male,GB,['00295704144'],['0000000372413384'],"[{'sort-name': 'Shaw, James Anthony', 'type': 'Legal name', 'alias': 'James Anthony Shaw'}]",,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,,,False,"of Simian Mobile Disco, legal name ""James Anthony Shaw"""
84,2b372c6d-777c-438b-94ec-72362cf77f43,Person,76,Eva Shaw,"Shaw, Eva",other,CA,,['0000000467337142'],,"[{'count': '1', 'name': 'edm'}, {'count': '1', 'name': 'producer'}, {'count': '1', 'name': 'hip hop'}, {'count': '1', 'name': 'trap'}, {'count': '1', 'name': 'songwriter'}, {'count': '1', 'name': 'pop'}, {'count': '1', 'name': 'disk jockey'}]",71bbafaa-e825-3e15-8ca9-017dcad1748b,Country,Canada,Canada,False,74b24e62-d2fe-42d2-9d96-31f2da756c77,City,Toronto,Toronto,False,,,,,,1996-02-24,,False,
