id,type,ext:score,name,sort-name,gender,country,disambiguation,ipi-list,isni-list,alias-list,tag-list,area.id,area.type,area.name,area.sort-name,area.life-span.ended,begin-area.id,begin-area.type,begin-area.name,begin-area.sort-name,begin-area.life-span.ended,end-area.id,end-area.type,end-area.name,end-area.sort-name,end-area.life-span.ended,life-span.begin,life-span.end,life-span.ended,begin-area.life-span.begin,area.life-span.begin
ed32b4b6-8723-4af0-80a6-ae1246002435,Person,87,Wood,Wood,male,DE,German electronic artist; Ton Töpferei,,,,,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,False,,,,,,,,,,,,,False,,
f48cde2f-e9a5-4ae3-8a2b-b9adaed2296e,Group,87,Wood,Wood,,GB,UK folk rock band,,,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,,,False,,
81349bb3-8a68-4e82-a724-00729158cb16,Person,87,Wood,Wood,male,US,US rapper,,,,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,,,,,,,,,,,,,False,,
c78c48d3-d41f-464e-a38a-44cc8d7993d8,Group,85,Wood,Wood,,,UK punk band,,,,"[{'count': '1', 'name': 'punk'}]",9d5dd675-3cf4-4296-9e39-67865ebee758,Subdivision,England,England,False,,,,,,,,,,,,,False,,
2f06f9e6-da97-41fd-a56c-c10994a28c24,Group,85,Wood,Wood,,AU,Australian band,,,,,106e0bec-b638-3b37-b731-f53d507dc00e,Country,Australia,Australia,False,,,,,,,,,,,,,False,,
efce1d93-3583-460d-9743-f78b60503e3d,Group,85,Wood,Wood,,US,90s Minnesota band,,,,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,f5ffcc03-ebf2-466a-bb11-b38c6c0c84f5,Subdivision,Minnesota,Minnesota,False,,,,,,,,False,,
b912dfec-442d-49ba-a321-10d4bf57d4db,,85,Wood,Wood,,,Rapper,,,,,,,,,,,,,,,,,,,,,,False,,
b11bb46e-d67c-406c-b771-df5777133438,Group,85,Wood,Wood,,BE,Belgian 1990s rock,,,,,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Country,Belgium,Belgium,False,3f44f39a-2f9a-4a1c-8c4c-13e02015b54e,City,Oostende,Oostende,False,,,,,,,,True,,
