Index,id,type,_3,name,_5,disambiguation,_7,gender,country,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30
3,https://musicbrainz.org/artist/4336a134-d091-4e54-9967-c7c433db6d4e,Person,93,Buddy Guy,"Guy, Buddy",,False,male,US,['00048667149'],"['0000000058475034', '0000000114435740', '0000000368586872']","[{'sort-name': 'Guy, George', 'type': 'Legal name', 'alias': 'George Guy'}, {'sort-name': 'Guy, B.', 'alias': 'B. Guy'}]","[{'count': '5', 'name': 'blues'}, {'count': '3', 'name': 'blues rock'}, {'count': '3', 'name': 'chicago blues'}, {'count': '4', 'name': 'electric blues'}, {'count': '1', 'name': 'harmonica blues'}, {'count': '1', 'name': 'hill country blues'}, {'count': '1', 'name': 'rhythm & blues'}, {'count': '1', 'name': '2008 universal fire victim'}]",489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,f1295a68-ba5b-4591-afce-1e9ab1eb48ec,City,Lettsworth,Lettsworth,False,,,,,,1936-07-30,
14,https://musicbrainz.org/artist/6ba2f6ce-50be-47df-b5a3-298ef032f476,Group,81,Henry Cow,Henry Cow,,True,,GB,,['0000000115433616'],,"[{'count': '1', 'name': 'progressive rock'}, {'count': '1', 'name': 'jazz'}, {'count': '1', 'name': 'avant-garde'}, {'count': '0', 'name': 'canterbury scene'}, {'count': '3', 'name': 'rio'}, {'count': '1', 'name': 'classic pop and rock'}, {'count': '1', 'name': 'free improvisation'}, {'count': '2', 'name': 'avant-prog'}, {'count': '1', 'name': 'progressive pop'}, {'count': '1', 'name': 'art pop'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,,,,,,,,,,,1968-05,1978-08
32,https://musicbrainz.org/artist/3f076b39-8267-4bf0-ac3e-e405d9feda21,Person,78,Barry Guy,"Guy, Barry",composer and double bass,False,male,GB,,['0000000114763840'],,"[{'count': '1', 'name': 'classical'}, {'count': '1', 'name': 'jazz'}]",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,f03d09b3-39dc-4083-afd6-159e3f0d462f,City,London,London,False,,,,,,1947-04-22,
41,https://musicbrainz.org/artist/b168f2e4-1ad5-4593-af13-e0515a4082bf,Person,77,Henry Henry,"Henry, Henry",,False,male,,,,,,,,,,,,,,,,,,,,,,
59,https://musicbrainz.org/artist/27d813b1-4053-4d3f-9b9c-1f81a0499437,Person,75,Henry Saiz,"Saiz, Henry",,False,male,ES,,,"[{'sort-name': 'Tyrane', 'type': 'Artist name', 'alias': 'Tyrane'}]",,471c46a7-afc5-31c4-923c-d0444f5053a4,Country,Spain,Spain,False,,,,,,,,,,,,
60,https://musicbrainz.org/artist/16c30e33-0f97-4146-9bec-dc21d074eaec,Character,75,Pink Guy,Pink Guy,YouTube personality,False,male,JP,,['0000000466945066'],"[{'sort-name': 'Pink Mensch', 'type': 'Search hint', 'alias': 'Pink Mensch'}, {'sort-name': 'Extraordinaire', 'type': 'Search hint', 'alias': 'Extraordinaire'}, {'sort-name': 'The Pink Lord', 'type': 'Search hint', 'alias': 'The Pink Lord'}, {'sort-name': 'Mr Pink', 'type': 'Search hint', 'alias': 'Mr Pink'}, {'sort-name': 'Freygarður Geirtryggur Þjóðleifur Lúthersdóttir', 'type': 'Search hint', 'alias': 'Freygarður Geirtryggur Þjóðleifur Lúthersdóttir'}, {'sort-name': 'PinkOmega', 'type': 'Search hint', 'alias': 'PinkOmega'}, {'sort-name': 'b0ss', 'type': 'Search hint', 'alias': 'b0ss'}, {'sort-name': 'Thot Destroyer', 'type': 'Search hint', 'alias': 'Thot Destroyer'}]","[{'count': '1', 'name': 'experimental hip hop'}, {'count': '2', 'name': 'comedy rap'}, {'count': '1', 'name': 'trap'}]",2db42837-c832-3c27-b4a3-08198f75693c,Country,Japan,Japan,False,2db42837-c832-3c27-b4a3-08198f75693c,Country,Japan,Japan,False,,,,,,2012,
81,https://musicbrainz.org/artist/a283af93-2b93-4b62-be2e-0ae6e14a2622,Person,74,Henry Gross,"Gross, Henry",,False,male,US,,,"[{'sort-name': 'Heny Gross', 'alias': 'Heny Gross'}]","[{'count': '1', 'name': 'rock'}]",489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,,,,,,,,,,,1951-04-01,
87,https://musicbrainz.org/artist/25e524bb-7a2e-4a21-a701-df3c2ef0a6e3,Person,73,Hood Guy,Hood Guy,Comedy rap artist signed to Flex Entertainment and member of Poo Band,False,male,,,,"[{'locale': 'en', 'sort-name': 'Homebrady', 'type': 'Artist name', 'alias': 'Homebrady'}, {'locale': 'en', 'sort-name': 'BradyCardia', 'type': 'Artist name', 'alias': 'BradyCardia'}, {'locale': 'en', 'sort-name': 'DigginBrady', 'type': 'Artist name', 'alias': 'DigginBrady'}, {'locale': 'en', 'sort-name': 'ZOMBIEMAN', 'type': 'Artist name', 'alias': 'ZOMBIEMAN'}, {'locale': 'en', 'sort-name': 'Brady', 'alias': 'Brady'}, {'locale': 'en', 'sort-name': 'H00D Guy', 'alias': 'H00D Guy'}]","[{'count': '1', 'name': 'hip hop'}, {'count': '1', 'name': 'comedy rap'}, {'count': '1', 'name': 'trap'}]",f934c8da-e40e-4056-8f8c-212e68fdcaec,Subdivision,Texas,Texas,False,,,,,,,,,,,2007-10-11,
94,https://musicbrainz.org/artist/cfc3e56a-b0e3-489e-842a-79c0ad28a205,Person,73,Henry Fiol,"Fiol, Henry",,False,male,US,,,,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,74e50e58-5deb-4b99-93a2-decbb365c07f,City,New York,New York,False,,,,,,1947-01-16,
98,https://musicbrainz.org/artist/ee17395b-b124-4b28-9e29-2402dd0650c1,Person,73,Henry,Henry,drum & bass artist; Harry Young,False,male,,,,"[{'sort-name': 'Young, Harry', 'type': 'Legal name', 'alias': 'Harry Young'}]","[{'count': '1', 'name': 'drum and bass'}]",,,,,,,,,,,,,,,,,
