Index,id,type,_3,name,_5,gender,country,disambiguation,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31
11,https://musicbrainz.org/artist/b555b016-d03c-4fa4-8c2e-eafff7d94ae9,Person,89,Francis Goya,"Goya, Francis",male,BE,Belgian easy listening guitar player,,['0000000080557503'],"[{'locale': 'ru', 'sort-name': 'Goyya, Fransis', 'type': 'Artist name', 'alias': 'Франсис Гойя'}, {'sort-name': 'Weyer, Francis', 'type': 'Legal name', 'end-date': '1975', 'alias': 'Francis Weyer'}, {'sort-name': 'F. Goya', 'alias': 'F. Goya'}]",,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Country,Belgium,Belgium,False,7f24b77b-abe7-42d9-b79c-ee09bbf5c83c,City,Liège,Liège,False,1946-05-16,False,,,,,,,
62,https://musicbrainz.org/artist/08450483-c037-442f-a675-37b9e8e77b2a,Person,77,Francis Hime,"Hime, Francis",male,BR,,,,,,f45b47f8-5796-386e-b172-6c31b009a5d8,Country,Brazil,Brazil,False,,,,,,1939-08-31,False,,,,,,,
