Index,id,type,_3,name,_5,gender,country,disambiguation,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32
3,31f25f61-c6e9-485a-abe0-3a6cd7acede6,Person,88,Ryan Cohan,"Cohan, Ryan",male,US,US post bop artist,,['0000000042264216'],,"[{'count': '1', 'name': 'jazz'}]",489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,,,,,,1971-06-06,False,,,,,,,,
7,d9a3932d-0358-4c98-bb26-240217f859f1,Person,85,Rich Cohan,"Cohan, Rich",,,,,,,,,,,,,,,,,,,False,,,,,,,,
8,625b2682-5178-4de2-a530-ba077c35bcac,Person,85,Tony Cohan,"Cohan, Tony",male,,,,,,,,,,,,,,,,,,False,,,,,,,,
10,b1e07aa1-4a35-4011-8ba9-76bdfab89868,Person,85,Jon Cohan,"Cohan, Jon",male,US,,,,,,489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,,,,,,,False,,,,,,,,
11,0b915d41-afb3-4351-9ca3-6c5b5a4ddc95,Person,85,Emma Cohan,"Cohan, Emma",female,,,,,,,,,,,,,,,,,,False,,,,,,,,
13,8a89b14f-c5a6-40ef-80cb-3c34878a0c7e,Person,85,Lou Cohan,"Cohan, Lou",male,,photographer,,,,,,,,,,,,,,,,False,,,,,,,,
33,875203e1-8e58-4b86-8dcb-7190faf411c5,Person,78,J. Cole,"Cole, J.",male,US,US rapper & producer,['00590963315'],['0000000108100039'],"[{'sort-name': 'J Cole', 'alias': 'J Cole'}, {'sort-name': 'Cole, Jermaine', 'alias': 'Jermaine Cole'}, {'sort-name': 'Cole, Jermaine Lamarr', 'type': 'Legal name', 'alias': 'Jermaine Lamarr Cole'}, {'sort-name': 'Cole, Jermaine L.', 'alias': 'Jermaine L. Cole'}, {'sort-name': 'j.cole', 'alias': 'j.cole'}]","[{'count': '0', 'name': 'rap'}, {'count': '0', 'name': 'hip-hop'}, {'count': '3', 'name': 'hip hop'}]",489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,16560d3e-358b-4869-8a6d-727db2ee7b69,City,Frankfurt am Main,Frankfurt am Main,False,1985-01-28,False,,,,,,,,
