Index,id,type,_3,name,_5,gender,country,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,disambiguation,_31
0,c921a2b2-ebca-4f8d-8af6-abd86ce7e1fa,Person,100,E. G. Marshall,"Marshall, E. G.",male,US,['0000000361907768'],489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,False,05215504-d460-4cf8-a6fa-47d76e450801,City,Owatonna,Owatonna,False,b24b75d1-ba5d-4660-8a1e-d2527fbf09ca,City,Bedford,Bedford,False,1914-06-18,1998-08-24,True,,,,,
45,cd5b5d8a-2118-4842-b2c6-29d70f2d6a6c,Person,39,Wayne Marshall,"Marshall, Wayne",male,JM,['0000000114398732'],2dd47a64-91d5-3b13-bc94-80043ed063d7,Country,Jamaica,Jamaica,False,2dd47a64-91d5-3b13-bc94-80043ed063d7,Country,Jamaica,Jamaica,False,,,,,,1980-04-09,,False,,"[{'sort-name': 'Mitchell, Wayne Omar', 'type': 'Legal name', 'alias': 'Wayne Omar Mitchell'}]","[{'count': '1', 'name': 'reggae'}, {'count': '1', 'name': 'dancehall'}, {'count': '1', 'name': 'reggae fusion'}]",Jamaican dancehall reggae artist,
84,5c28c5a2-f820-4d5c-a349-bccd2a3bda31,Person,38,Wayne Marshall,"Marshall, Wayne",male,GB,"['0000000119047691', '0000000383121467']",8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,False,7b0cb0ed-8ed8-4d56-8920-cc9c1f9341bb,City,Oldham,Oldham,False,,,,,,1961-01-13,,False,,,"[{'count': '1', 'name': 'conductor'}, {'count': '1', 'name': 'british conductor'}, {'count': '1', 'name': 'british pianist'}, {'count': '1', 'name': 'classical'}, {'count': '1', 'name': 'pianist'}]","British pianist, organist and conductor",
