Index,id,type,_3,name,_5,gender,country,disambiguation,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31
93,1d523b84-9ffd-409a-9883-be1ba25e5102,Person,75,Alexander Marcus,"Marcus, Alexander",,DE,,,,,"[{'count': '1', 'name': 'electro'}]",85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,False,c9ac1239-e832-41bc-9930-e252a1fd1105,City,Berlin,Berlin,False,,,,,,1972-06-26,,False,
96,e6407b09-66e8-48ce-8e5b-38d3aca55fc6,Person,75,Alexander Klaws,"Klaws, Alexander",male,DE,,,['0000000043726646'],"[{'sort-name': 'Alexander', 'alias': 'Alexander'}]","[{'count': '1', 'name': 'pop idols'}, {'count': '1', 'name': 'pop'}, {'count': '2', 'name': 'german'}]",85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,False,f05ca63d-8680-43b7-86a6-078aab714370,City,Ahlen,Ahlen,False,,,,,,1983-09-03,,False,
