id,type,ext:score,name,sort-name,gender,country,isni-list,area.id,area.type,area.name,area.sort-name,area.life-span.ended,begin-area.id,begin-area.type,begin-area.name,begin-area.sort-name,begin-area.life-span.ended,end-area.id,end-area.type,end-area.name,end-area.sort-name,end-area.life-span.ended,life-span.begin,life-span.end,life-span.ended,ipi-list,alias-list,tag-list,disambiguation,area.life-span.begin
c921a2b2-ebca-4f8d-8af6-abd86ce7e1fa,Person,100,E. G. Marshall,"Marshall, E. G.",male,US,['0000000361907768'],489ce91b-6658-3307-9877-795b68554c98,Country,United States,United States,false,05215504-d460-4cf8-a6fa-47d76e450801,City,Owatonna,Owatonna,false,b24b75d1-ba5d-4660-8a1e-d2527fbf09ca,City,Bedford,Bedford,false,1914-06-18,1998-08-24,true,,,,,
0db7ddae-9702-4ded-b900-1044e002f0b7,Person,99,Lydia G. Marshall,"Marshall, Lydia G.",female,,,,,,,,,,,,,,,,,,,,false,,,,,
79733f6e-5bfd-4e5d-be56-8fe1cf60df68,Person,70,Grant Marshall,"Marshall, Grant",male,GB,['0000000372001427'],8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,false,40d758a4-b7c2-40f3-b439-5efbd2a3b038,City,Bristol,Bristol,false,,,,,,1959-12-18,,false,"['00162062303', '00162317492', '00162305205']","[{'locale': 'en', 'sort-name': 'Marshall, Grantley Evan', 'type': 'Legal name', 'alias': 'Grantley Evan Marshall'}, {'sort-name': 'Daddy G. Marshall', 'alias': 'Daddy G. Marshall'}, {'locale': 'en', 'sort-name': 'Marshall, Grantley', 'alias': 'Grantley Marshall'}]","[{'count': '1', 'name': 'uk'}, {'count': '1', 'name': 'english'}, {'count': '1', 'name': 'british'}]",,
fd4b4a7c-d2e5-447e-8713-641117953ed0,Person,48,Distinction,Distinction,male,GB,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,Country,United Kingdom,United Kingdom,false,,,,,,,,,,,,,false,,,,Dubstep DJ/producer G. Marshall,
9567ea4f-7321-400d-a134-ad5f45b67335,Person,48,G. G. Anderson,"Anderson, G. G.",male,DE,['0000000071129195'],85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,false,79f164c2-4ff4-4a30-8bc4-091c924bda08,City,Eschwege,Eschwege,false,,,,,,1949-12-04,,false,"['00017472393', '00209522289', '00254687828', '00256725841']","[{'sort-name': 'Maccaroni, Toni', 'alias': 'Toni Maccaroni'}, {'sort-name': 'Grab, Gerry', 'alias': 'Gerry Grab'}, {'sort-name': 'Bell, Tony', 'alias': 'Tony Bell'}, {'sort-name': 'Marco, Alexander', 'alias': 'Alexander Marco'}, {'sort-name': 'Anderson, G. G.', 'type': 'Artist name', 'alias': 'G. G. Anderson'}, {'sort-name': 'Anderson, G.G.', 'alias': 'G.G. Anderson'}, {'sort-name': 'Grabowski, Gerd', 'type': 'Legal name', 'alias': 'Gerd Grabowski'}, {'locale': 'de', 'sort-name': 'Grabowski-Grabo, Gerd', 'alias': 'Gerd Grabowski-Grabo'}]",,"German Schlager singer, aka Gerd Grabowski",
4d23a1a5-7d06-4185-baf2-f74db2be75f2,Person,47,Tony Marshall,"Marshall, Tony",male,DE,['0000000114829379'],85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,false,d43989dc-c7b1-457c-bf33-c91c7cf20c74,City,Baden-Baden,Baden-Baden,false,,,,,,1938-02-03,,false,"['00034438493', '00034759663', '00046452190']","[{'sort-name': 'Bloeth, Herbert Anton', 'type': 'Legal name', 'alias': 'Herbert Anton Bloeth'}, {'sort-name': 'Tony Marschal', 'alias': 'Tony Marschal'}, {'sort-name': 'Marschall, Tony', 'alias': 'Tony Marschall'}, {'sort-name': 'Hilger, Herbert Anton', 'type': 'Legal name', 'alias': 'Herbert Anton Hilger'}]","[{'count': '1', 'name': 'schlager'}]",German Schlager singer,
b8d05da7-e58a-4d03-9934-f096e6c09dbb,,46,Zero-G,Zero-G,,,,,,,,,,,,,,,,,,,,,false,,,,"UK-based sampling, sound FX and music production company, founded in 1990 by Ed Stratton and Julie Stratton.",
b805d3ac-3eaf-46c1-8b42-0f1a3d6541c9,Person,45,James W. Marshall,"Marshall, James W.",male,,,,,,,,,,,,,,,,,,,,false,,"[{'sort-name': 'Jim Marshall', 'type': 'Search hint', 'alias': 'Jim Marshall'}]",,,
24f1766e-9635-4d58-a4d4-9413f9f98a4c,Person,45,Johann Sebastian Bach,"Bach, Johann Sebastian",male,DE,['0000000122764157'],85752fda-13c4-31a3-bee5-0e5cb1f51dad,Country,Germany,Germany,false,8331b712-99b9-41ef-bf58-0f033f8d926a,City,Eisenach,Eisenach,false,20619e36-fca8-4499-bcc8-be01a3ea3e41,City,Leipzig,Leipzig,false,1685-03-21,1750-07-28,true,['00001749311'],"[{'sort-name': 'Johnann Sebastian Bach', 'type': 'Search hint', 'alias': 'Johnann Sebastian Bach'}, {'locale': 'fr', 'sort-name': 'Bach, Jean-Sébastien', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Jean-Sébastien Bach'}, {'locale': 'fr', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'alias': 'Johann Sebastian Bach'}, {'locale': 'en', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Johann Sebastian Bach'}, {'locale': 'ja', 'sort-name': 'バッハ', 'alias': 'バッハ'}, {'locale': 'ko', 'sort-name': '바흐', 'alias': '바흐'}, {'locale': 'cs', 'sort-name': 'Bach, J. S.', 'alias': 'J. S. Bach'}, {'locale': 'uk', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Йоганн Себастьян Бах'}, {'sort-name': 'Bach', 'type': 'Search hint', 'alias': 'Bach'}, {'sort-name': 'Johann S. Bach', 'type': 'Search hint', 'alias': 'Johann S. Bach'}, {'sort-name': 'Johann Sebstian Bach', 'type': 'Search hint', 'alias': 'Johann Sebstian Bach'}, {'sort-name': 'Johann Sebasitan Bach', 'type': 'Search hint', 'alias': 'Johann Sebasitan Bach'}, {'sort-name': 'Себастьян Бах', 'alias': 'Себастьян Бах'}, {'sort-name': 'J.S.Bash', 'type': 'Search hint', 'alias': 'J.S.Bash'}, {'sort-name': 'Bach', 'type': 'Artist name', 'alias': 'Bach'}, {'locale': 'lv', 'sort-name': 'Bahs, J.S.', 'alias': 'J.S. Bahs'}, {'sort-name': 'Johann Savastian Bach', 'type': 'Search hint', 'alias': 'Johann Savastian Bach'}, {'sort-name': 'Jan Sebastian Bach', 'alias': 'Jan Sebastian Bach'}, {'locale': 'ru', 'sort-name': 'Бах, Иоганн Севастьян', 'type': 'Artist name', 'alias': 'Иоганн Севастьян Бах'}, {'sort-name': 'J. S. Bacj', 'type': 'Search hint', 'alias': 'J. S. Bacj'}, {'sort-name': 'J S Bach', 'type': 'Search hint', 'alias': 'J S Bach'}, {'sort-name': 'Johann Sebastuan Bach', 'type': 'Search hint', 'alias': 'Johann Sebastuan Bach'}, {'sort-name': 'J.S Bach', 'type': 'Search hint', 'alias': 'J.S Bach'}, {'sort-name': 'Johann-sebastian Bach', 'type': 'Search hint', 'alias': 'Johann-sebastian Bach'}, {'sort-name': 'J.S.Bach', 'type': 'Search hint', 'alias': 'J.S.Bach'}, {'sort-name': 'J.S. Bach', 'type': 'Search hint', 'alias': 'J.S. Bach'}, {'sort-name': 'JS Bach', 'type': 'Search hint', 'alias': 'JS Bach'}, {'sort-name': 'Johan Sebastian Bach', 'type': 'Search hint', 'alias': 'Johan Sebastian Bach'}, {'sort-name': 'Johann Sebastion Bach', 'type': 'Search hint', 'alias': 'Johann Sebastion Bach'}, {'sort-name': 'Johann Sabastian Bach', 'type': 'Search hint', 'alias': 'Johann Sabastian Bach'}, {'locale': 'ja', 'sort-name': 'バッハ ヨハンゼバスティアン', 'type': 'Artist name', 'alias': 'ヨハン・ゼバスティアン・バッハ'}, {'locale': 'el', 'sort-name': 'Μπαχ, Γιόχαν Σεμπάστιαν', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Γιόχαν Σεμπάστιαν Μπαχ'}, {'locale': 'ru', 'sort-name': 'Бах, Иоганн Себастьян', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Иоганн Себастьян Бах'}, {'locale': 'de', 'sort-name': 'Bach, Johann Sebastian', 'type': 'Artist name', 'primary': 'primary', 'alias': 'Johann Sebastian Bach'}, {'sort-name': 'Bach (1685-1750)', 'type': 'Search hint', 'alias': 'Bach (1685-1750)'}, {'locale': 'ar', 'sort-name': 'يوهان سباستيان باخ', 'type': 'Artist name', 'primary': 'primary', 'alias': 'يوهان سباستيان باخ'}, {'locale': 'lv', 'sort-name': 'Bahs, J. S.', 'alias': 'J. S. Bahs'}, {'locale': 'ja', 'sort-name': 'バッハ ヨハンゼバスティアン', 'type': 'Artist name', 'primary': 'primary', 'alias': 'J.S.バッハ'}, {'locale': 'lv', 'sort-name': 'Bahs, J.S.', 'alias': 'J.S.Bahs'}]","[{'count': '14', 'name': 'classical'}, {'count': '4', 'name': 'german'}, {'count': '0', 'name': 'german composer'}, {'count': '1', 'name': 'orchestral'}, {'count': '6', 'name': 'composer'}, {'count': '0', 'name': 'organist'}, {'count': '7', 'name': 'baroque'}, {'count': '0', 'name': 'latin'}, {'count': '2', 'name': 'european'}, {'count': '0', 'name': 'bach'}, {'count': '1', 'name': 'mass'}, {'count': '0', 'name': 'wagner'}, {'count': '0', 'name': 'six'}, {'count': '0', 'name': '134a'}, {'count': '1', 'name': 'motet'}, {'count': '0', 'name': 'mathäuspassion'}, {'count': '0', 'name': 'messe h-moll'}, {'count': '0', 'name': 'vox'}, {'count': '1', 'name': 'cantata'}, {'count': '0', 'name': 'cantata 147'}, {'count': '-1', 'name': 'bach double violin concerto'}, {'count': '1', 'name': 'helmut walcha'}, {'count': '1', 'name': '1036'}]",German Baroque period composer & musician,
ad75d3e5-7f01-4353-808c-828774d1ac8e,Group,44,W. G. Larsen,"Larsen, W. G.",,,,,,,,,,,,,,,,,,,,,false,,,,This name was a pseudonym for 5 authors that worked together.,
